name,sku,manufacturer,description,Size 7îx48î,Size 12îx24î,Quantity 7îx48î,Quanity 12îx24î,Bevel,Finish,Warranty,Installation,Indoor Air Quality,Radiant Heat,Shade,Performance Class,Colour,Usage,Size,Format,Installation Method,Space,construction,image
ACACIA RUSTIC NATURAL,LAULMACY91RFP,"Kendall Lock 5"" Exotics","A combination of beautiful Exotic Engineered Hardwood flooring with the ease of a click installation. Kendall Lock 5"" Exotics feature 4-Sided micro bevel and 8 Ply core plus backer.",,,,,4 sided micro bevel,Maximus Aluminum Oxide,25 residential & 5 light commercial,"nail, staple, glue, float",,Recommended for American Walnut species only.,Medium,,"Beige, Gold, Yellow",Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room",Engineered,https://www.shnierflooring.ca/catalog/items/600x600/LAULMACY91RFP.jpg
AMERICAN WALNUT NATURAL,LAULMACN91FP,"Kendall Lock 5"" Exotics","A combination of beautiful Exotic Engineered Hardwood flooring with the ease of a click installation. Kendall Lock 5"" Exotics feature 4-Sided micro bevel and 8 Ply core plus backer.",,,,,4 sided micro bevel,Maximus Aluminum Oxide,25 residential & 5 light commercial,"nail, staple, glue, float",,Recommended for American Walnut species only.,Dark,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room",Engineered,https://www.shnierflooring.ca/catalog/items/600x600/LAULMACN91FP.jpg
AMERICAN WALNUT PRESTON,LAULMBNNN6FP,Berkshire,"Random width (3""ù/ 5""ù/ 7""ù) planks with modern furniture finish. Tough Maximus aluminum oxide protects each plank with abrasion-resistant finish.",,,,,4 sided micro bevel,Maximus Aluminum Oxide,"25 year residential, 5 year light commercial","staple, glue, float",,can be installed over water based radiant heat - see installation instructions. Only Oak and Walnut species are approved .,Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room",Engineered,https://www.shnierflooring.ca/catalog/items/600x600/LAULMBNNN6FP.jpg
BIRCH MARCO,RHWSUMMMAR,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Beige,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.shnierflooring.ca/catalog/items/600x600/RHWSUMMMAR.jpg
BIRCH NATURAL,RHWSUMMNATBI,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Brown,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
BIRCH STERLING,RHWSUMMSTE,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Brown,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
BIRCH TERREBONNE,RHWSUMMTER,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Brown,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
CASSIDY,LAULMAY2347FBR,Kendall 5.5,"Available in European White Oak, Kendall Lock Brushed is suited for installation in both modern or traditional interiors. Select & Better Grade gives a formal, uniform appearance. Brushed, matte gloss, Maximus Aluminum Oxide finish. Four-side, micro beveled edges. Durable Unilin Drop Lock profile, for easy installation. Glue, staple or nail down installation is recommended",,,,,Four-sided micro bevel,,25 YEAR (Residential) 5 YEAR (Light Commercial),"glue , nail , staple, float.",,Can be installed over water based radiant heat. See installation instructions. Only Oak species are approved. ,Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room",,https://www.shnierflooring.ca/catalog/items/600x600/LAULMAY2347FBR.jpg
HICKORY CARLTON,LAUCONNCARLTO,Connel,"""¢ ¬Ω"" x 5"" engineered hardwood. Tongue & groove alternative to solid wood. High value. ""¢ Modern wire brushed planks offered in Maple and Hickory ""¢ Light wire brushed texture ""¢ Classic stain colours including natural Hickory ""¢ Natural grade allows just the right amount of character ""¢ Ultra-matte finish",".48""ù x 5""ù x RL(15.75""ù-47.24""ù) 12mm x 127mm x RL(400-1200mm)",,"26.25 SF/CT, 36 CT/PA",,Four-sided micro bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Not approved for radiant heat,Dark,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",,https://www.shnierflooring.ca/catalog/items/600x600/LAUCONNCARLTO.jpg
HICKORY CHARLESTON,LAUBELVCHA,Belvedere,"Belvedere is a highly styled 1/2"" x 7.5"" x 74.8"" (random length) engineered flooring. The planks show a range of colour variation and character found within each species. The surface is lightly brushed. The staining techniques used for each species result in unique looks that enhance the natural grain and character of the wood. Species/colours include Hickory (4), White Oak (3) and Maple (2). Nine colours in total. A modern ultra-matte urethane finish provides a natural look while providing unsurpassed wear resistance. 25 year residential wear warranty. T&G profile: Glue/Float/Staple/Nail",,,,,"4 sided bevel (Hickory/Oak), Hand sanded bevel (Maple)",Low gloss UV finish,"25 year residential, 5 year light commercial and lifetime structural","Float, glue, or staple","CARB2 - meets the quality assurance requirements stated in section 93120.12, appendix 2, title 17, california code of regulations. Compliant with CAN/CSA 0160-16","Approved over water based radiant heat systems, see installation instructions. Only Oak and Walnut species are approved.",Medium,,"Brown, Black",Floor,,,"Glue, Float, Staple","Basement, Bedroom, Kitchen, Living Room",Engineered,https://www.division9.ca/img/common_pixel.svg
