name,sku,manufacturer,description,Size 7�x48�,Size 12�x24�,Quantity 7�x48�,Quanity 12�x24�,Bevel,Finish,Warranty,Installation,Indoor Air Quality,Radiant Heat,Shade,Performance Class,Colour,Usage,Size,Format,Installation Method,Space,construction,image
ALDRIDGE 7”X48”,RVI1754FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Medium,Best,"Grey, Charcoal",Floor,,Luxury Vinyl Plank,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI1754FIRMFITTI.jpg
ANDESITE 12”X24”,RVI1752FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Medium,Best,Grey,Floor,12x24,Luxury Vinyl Tile,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI1752FIRMFITTI.jpg
DUNCHURCH 12”X24”,RVI1750FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Medium,Best,"Grey, Charcoal",Floor,12x24,Luxury Vinyl Tile,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI1750FIRMFITTI.jpg
EVIA 7”X48”,RVI1755FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Light,Best,,Floor,,Luxury Vinyl Plank,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI1755FIRMFITTI.jpg
GEORGIAN GRANITE 12”X24”,RVI0312FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Medium,Best,"Grey, Charcoal",Floor,12x24,Luxury Vinyl Tile,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI0312FIRMFITTI.jpg
GRANVILLE 12”X24”,RVI1672FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Medium,Best,Brown,Floor,12x24,Luxury Vinyl Tile,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI1672FIRMFITTI.jpg
MARMARA 12”X24”,RVI0599FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Medium,Best,Brown,Floor,12x24,Luxury Vinyl Tile,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI0599FIRMFITTI.jpg
"MASSA CARRARA 12""X24""",RVI1751FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Light,Best,White,Floor,12x24,Luxury Vinyl Tile,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI1751FIRMFITTI.jpg
SILVER SCREEN 12”X24”,RVI0976FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Medium,Best,,Floor,12x24,Luxury Vinyl Tile,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI0976FIRMFITTI.jpg
TIMELESS 12”X24”,RVI0975FIRMFITTI,FIRMFIT® Premium Tiles,"FIRMFIT® Premium Tiles are an innovative waterproof floating floor. The dense and rigid (SPC) core will not telegraph subfloor irregularities, is more temperature stable and more impact resistant than floating LVT and WPC. FIRMFIT® Tiles can be installed in large areas (up to 4000 sft) without transitions. The vinyl surface layer is coated with a high quality urethane finish. The visuals are high quality, realistic with natural embossing an a full wide bevel. The bevels are colour coated to replicate the look of grouted tiles. Drop-lock installation system for easy installation. FIRMFIT® Tiles have an attached cork underlayment providing added sound insulation. The tiles can be installed over most existing subfloors.",0.2” x 6.93” x 47.76” (5mm x 176mm x 1213mm),0.2” x 11.81” x 23.62” (5mm x 300mm x 600mm),"25.27 SF/CT, 55 CT/PA","25.19 SF/CT, 54 CT/PA",Four sided colour matched bevel,Non-fading extremely tough 0.55 mm wear layer with a UV topcoat and SE+ Anti-Bacterial coating,Lifetime Residential & 15 Year Commercial,Click Floating,Greenguard Gold,Can be installed over water based radiant heat. See installation instructions.,Dark,Best,Charcoal,Floor,12x24,Luxury Vinyl Tile,"Click, Float, Rigid Composite Click","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",SPC,https://www.shnierflooring.ca/catalog/items/600x600/RVI0975FIRMFITTI.jpg
